Probe Set	Identifier	FirstOfLocuslink	FirstOfName	FirstOfFunction	Description							
1450246	NM_002199.2	3660	IRF2		IRF2							
3130092	NM_001679.2	483	ATP1B3		ATP1B3							
7160112	NM_017728.2	54868	TMEM104		TMEM104							
3170288	NM_182508.1	144809	C13ORF30		C13ORF30							
4210148	NM_183006.2	22839	DLGAP4		DLGAP4							
5810328	NM_000146.3	2512	FTL		FTL							
4920767	NM_000146.3	2512	FTL		FTL							
1260681	XR_015164.1	727815	LOC727815		LOC727815							
4290487	XR_015164.1	727815	LOC727815		LOC727815							
1940161	CR620587		HS.28694		HS.28694							
5910056	NM_206821.1	4604	MYBPC1		MYBPC1							
4560324	AK056211		HS.485009		HS.485009							
6290253	NM_138358.2	90580	C19ORF52		C19ORF52							
6590280	BQ269945		HS.560981		HS.560981							
940370	NM_017525.1	55561	CDC42BPG		CDC42BPG							
3800692	XM_942283.2	652683	LOC652683		LOC652683							
2970592	AK092875		HS.31037		HS.31037							
5960561	NM_016216.2	51163	DBR1		DBR1							
6200273	XM_210876.4	283065	C10ORF41		C10ORF41							
2450056	CD518338		HS.537938		HS.537938							
5820204	NM_001020825.1	2908	NR3C1		NR3C1							
5560711	NM_001012980.1	340562	SATL1		SATL1							
3520592	XM_001133520.1	731641	LOC731641		LOC731641							
7100019	AA887982		HS.537757		HS.537757							
7200707	NM_018137.1	55170	PRMT6		PRMT6							
3890187	NM_018137.1	55170	PRMT6		PRMT6							
7320193	NM_016362.2	51738	GHRL		GHRL							
2900544	BM684127		HS.560463		HS.560463							
730136	NM_144736.4	55471	C2ORF56		C2ORF56							
4060682	NM_030955.2	81792	ADAMTS12		ADAMTS12							
6590196	NM_014462.1	27257	LSM1		LSM1							
5260632	NM_015983.2	51619	UBE2D4		UBE2D4							
6270377	NM_033046.2	6242	RTKN		RTKN							
6100382	NM_033046.2	6242	RTKN		RTKN							
5420168	DA442292		HS.573996		HS.573996							
3870630	NM_004231.2	9296	ATP6V1F		ATP6V1F							
1690128	NM_000048.3	435	ASL		ASL							
2230059	NM_001011713.1	122830	NAT12		NAT12							
20196	XM_941660.1	652252	LOC652252		LOC652252							
2350735	NM_020382.3	387893	SETD8		SETD8							
5720300	NM_005754.2	10146	G3BP1		G3BP1							
2810451	NM_182758.1	256764	WDR72		WDR72							
5390240	NM_021910.1	5349	FXYD3		FXYD3							
1580056	BU570069		HS.119922		HS.119922							
2370500	DA697821		HS.569175		HS.569175							
7210554	NM_016300.4	10777	ARPP-21		ARPP-21							
4560301	NM_016300.4	10777	ARPP-21		ARPP-21							
2850538	NM_012197.2	23637	RABGAP1		RABGAP1							
2260463	BF037506		HS.547354		HS.547354							
830221	NM_015978.1	51086	TNNI3K		TNNI3K							
2450053	NM_025040.2	80110	ZNF614		ZNF614							
3830360	AI475417		HS.545821		HS.545821							
1500091	XM_929526.1	440345	LOC440345		LOC440345							
4180768	NM_001037968.1	212	ALAS2		ALAS2							
5270338	NM_001037968.1	212	ALAS2		ALAS2							
7210112	BE501770		HS.282153		HS.282153							
2450576	DB336969		HS.576707		HS.576707							
2100609	BF508809		HS.564662		HS.564662							
830274	CD724029		HS.575569		HS.575569							
650358	XM_001133140.1	113878	DTX2		DTX2							
2120170	AW265489		HS.555254		HS.555254							
3440300	AI949799		HS.151285		HS.151285							
6040661	XM_937289.1	390846	LOC390846		LOC390846							
6860154	NM_001680.3	486	FXYD2		FXYD2							
6550044	NM_001680.3	486	FXYD2		FXYD2							
5050470	NM_000163.2	2690	GHR		GHR							
4220424	AA586400		HS.550430		HS.550430							
3420408	XM_944835.2	648691	LOC648691		LOC648691							
2370110	NM_018834.4	9782	MATR3		MATR3							
6650138	BX100194		HS.125563		HS.125563							
7160743	NM_001992.2	2149	F2R		F2R							
4570398	NM_001992.2	2149	F2R		F2R							
5050397	AI277621		HS.546112		HS.546112							
6270075	NM_012417.2	26207	PITPNC1		PITPNC1							
6270484	XM_944004.1	4810	NHS		NHS							
4860338	AI939518		HS.444411		HS.444411							
6760475	NM_001846.2	1284	COL4A2		COL4A2							
6520553	AI821112		HS.430851		HS.430851							
1010184	BF112030		HS.538055		HS.538055							
4070154	NM_018442.2	55827	IQWD1		IQWD1							
4920228	NM_005306.1	2867	FFAR2		FFAR2							
730719	NM_021182.1	57824	HMHB1		HMHB1							
2360450	BM472158		HS.547551		HS.547551							
510682	XM_937115.1	648064	LOC648064		LOC648064							
1410471	XM_928507.1	653326	LOC653326		LOC653326							
2490398	XM_942492.1	652819	LOC652819		LOC652819							
5270291	NM_017811.3	54926	UBE2R2		UBE2R2							
4220750	BX109478		HS.121630		HS.121630							
2630639	NM_001093729.1	79839	CCDC102B		CCDC102B							
3140315	AA431469		HS.98737		HS.98737							
5130747	XM_941278.1	645730	LOC645730		LOC645730							
3120102	XM_934553.1	647234	LOC647234		LOC647234							
1010164	BG153441		HS.560123		HS.560123							
7040608	NM_032222.2	84182	FLJ22374		FLJ22374							
2060577	NM_033229.2	89870	TRIM15		TRIM15							
1240440	NM_006472.2	10628	TXNIP		TXNIP							
270333	XR_016902.1	393076	LOC393076		LOC393076							
4540603	BX103328		HS.112720		HS.112720							
60152	BI094734		HS.543182		HS.543182							
3130736	XR_017614.1	645688	LOC645688		LOC645688							
4040598	XM_938953.2	389072	LOC389072		LOC389072							
2260543	NM_032639.2	84725	PLEKHA8		PLEKHA8							
3450543	NM_032863.2	80144	FRAS1		FRAS1							
1770445	AW182051		HS.524230		HS.524230							
2370138	NM_003449.3	7726	TRIM26		TRIM26							
2370564	NM_173352.2	196374	KRT78		KRT78							
7330608	AA856966		HS.542606		HS.542606							
6330341	NM_024615.2	79668	PARP8		PARP8							
6290681	BX104746		HS.578136		HS.578136							
4480639	NM_007123.4	7399	USH2A		USH2A							
6020204	NM_007123.4	7399	USH2A		USH2A							
510154	NM_007123.4	7399	USH2A		USH2A							
3890228	NM_005797.2	10205	MPZL2		MPZL2							
1050446	NM_001018137.1	4831	NME2		NME2							
3850142	NM_006612.4	10749	KIF1C		KIF1C							
7000022	AW188123		HS.545216		HS.545216							
1740482	XM_925780.1	641694	LOC641694		LOC641694							
10136	XM_942288.1	5371	PML		PML							
4860524	NM_000932.1	5331	PLCB3		PLCB3							
7650193	XM_939834.1	5170	PDPK1		PDPK1							
5910747	AW183789		HS.538409		HS.538409							
4640672	NM_004469.2	2277	FIGF		FIGF							
4900132	NM_001042584.1	913	CD1E		CD1E							
2900040	BU633230		HS.292204		HS.292204							
4230608	NM_001542.2	3321	IGSF3		IGSF3							
4890041	NM_004420.2	1850	DUSP8		DUSP8							
4230088	NM_152715.2	219899	TBCEL		TBCEL							
3060079	NM_001013718.1	441120	LOC441120		LOC441120							
3290240	NM_001013718.1	441120	LOC441120		LOC441120							
780403	XM_936128.2	3117	HLA-DQA1		HLA-DQA1							
4890156	NM_013441.2	11123	RCAN3		RCAN3							
2760070	NM_182568.2	284047	FLJ36492		FLJ36492							
3940725	NM_024533.2	23563	CHST5		CHST5							
3140523	NM_001033560.1	161582	DYX1C1		DYX1C1							
6660292	NM_001033560.1	161582	DYX1C1		DYX1C1							
6480082	NM_004308.2	392	ARHGAP1		ARHGAP1							
50523	XM_926102.1	642359	LOC642359		LOC642359							
2340037	AI245369		HS.545164		HS.545164							
3850376	AW118757		HS.539700		HS.539700							
4200563	AI015346		HS.564846		HS.564846							
2260044	AA608770		HS.582098		HS.582098							
730750	XM_942253.2	654252	LOC654252		LOC654252							
1660398	XM_944794.1	650737	LOC650737		LOC650737							
1430470	NM_032595.3	84687	PPP1R9B		PPP1R9B							
4760379	BQ006080		HS.252668		HS.252668							
3460373	XM_941867.1	120824	LOC120824		LOC120824							
6380521	XM_942136.1	652606	LOC652606		LOC652606							
2630220	NM_153825.1	51091	SEPSECS		SEPSECS							
4760095	NM_004750.2	9244	CRLF1		CRLF1							
4730195	BQ435567		HS.399823		HS.399823							
5420176	XM_928876.2	645904	LOC645904		LOC645904							
4860039	AA010977		HS.563870		HS.563870							
5420204	NM_014680.2	9703	KIAA0100		KIAA0100							
1240487	NM_020408.3	57128	LYRM4		LYRM4							
1230435	NM_001039761.2	642980	LOC642980		LOC642980							
7610626	NM_001039761.2	642980	LOC642980		LOC642980							
1090025	XM_376186.3	93463	LOC93463		LOC93463							
6110255	DB335370		HS.579225		HS.579225							
1820093	XM_939887.2	389674	HNRPA1P4		HNRPA1P4							
7200292	NM_005698.2	10067	SCAMP3		SCAMP3							
2260692	NM_198968.2	22873	DZIP1		DZIP1							
450148	AK124056		HS.256581		HS.256581							
7000646	NM_001526.2	3062	HCRTR2		HCRTR2							
1780546	XM_933327.1	645994	LOC645994		LOC645994							
5560056	NM_198041.1	11162	NUDT6		NUDT6							
6380008	NM_025209.2	80314	EPC1		EPC1							
4780075	NM_001816.2	1088	CEACAM8		CEACAM8							
6110717	NM_006538.3	10018	BCL2L11		BCL2L11							
1340139	NM_006538.3	10018	BCL2L11		BCL2L11							
4850598	BM681487		HS.566171		HS.566171							
7650661	NM_004349.2	862	RUNX1T1		RUNX1T1							
3450762	NM_004349.2	862	RUNX1T1		RUNX1T1							
940292	BM968372		HS.324879		HS.324879							
5310047	XM_944226.1	64061	TSPYL2		TSPYL2							
2360193	BX096054		HS.208027		HS.208027							
4920411	NM_144725.2	153657	FLJ25439		FLJ25439							
4920328	NM_001024666.1	30011	SH3KBP1		SH3KBP1							
730435	NM_012311.2	22944	KIN		KIN							
2070709	AI377275		HS.571908		HS.571908							
3440053	NM_201274.2	23164	MPRIP		MPRIP							
5890128	XM_499062.2	441205	LOC441205		LOC441205							
620221	NM_213648.1	6932	TCF7		TCF7							
240494	NM_213648.1	6932	TCF7		TCF7							
2900220	NM_030762.1	79365	BHLHB3		BHLHB3							
5900451	NM_006946.1	6712	SPTBN2		SPTBN2							
5340288	NM_014948.2	22888	UBOX5		UBOX5							
2070289	NM_014948.2	22888	UBOX5		UBOX5							
5570544	XM_928334.1	56975	FAM20C		FAM20C							
7570427	AA904693		HS.542011		HS.542011							
1010315	NM_001040614.1	55180	LINS1		LINS1							
6250646	NM_012254.1	10998	SLC27A5		SLC27A5							
620113	NM_032604.2	84696	ABHD1		ABHD1							
3400537	NM_002206.1	3679	ITGA7		ITGA7							
290431	XM_926835.1	653313	LOC653313		LOC653313							
20139	NM_001010898.1	388662	SLC6A17		SLC6A17							
2370075	NM_181794.1	5570	PKIB		PKIB							
5810326	NM_001509.1	2880	GPX5		GPX5							
1340348	NM_001509.1	2880	GPX5		GPX5							
3890093	NM_001509.1	2880	GPX5		GPX5							
3170201	AK093982		HS.125056		HS.125056							
7550603	NM_152864.2	128414	NKAIN4		NKAIN4							
5050524	NM_007176.1	11161	C14ORF1		C14ORF1							
2190546	XM_371273.3	388654	LOC388654		LOC388654							
3890427	XR_016056.1	729843	LOC729843		LOC729843							
3390537	XM_932822.1	645333	LOC645333		LOC645333							
5820736	AI802975		HS.545186		HS.545186							
2490544	NM_153816.2	57231	SNX14		SNX14							
2320750	NM_001098579.1	10335	MRVI1		MRVI1							
1440541	NM_003094.2	6635	SNRPE		SNRPE							
580471	NM_003094.2	6635	SNRPE		SNRPE							
1440154	AI243292		HS.580540		HS.580540							
7050113	NM_001012331.1	4914	NTRK1		NTRK1							
6660743	NM_138815.2	151871	DPPA2		DPPA2							
5340328	NM_015061.2	23081	JMJD2C		JMJD2C							
270079	XM_936087.1	114821	ZNF452		ZNF452							
2680377	XM_936046.1	641999	LOC641999		LOC641999							
2140347	NM_001012715.1	414318	C9ORF106		C9ORF106							
2360088	AI024633		HS.564387		HS.564387							
1510575	CD243631		HS.60288		HS.60288							
6370161	BG943031		HS.545111		HS.545111							
6110471	NM_138777.2	92399	MRRF		MRRF							
1980138	NM_138777.2	92399	MRRF		MRRF							
7320497	NM_001001188.3	7226	TRPM2		TRPM2							
5700068	NM_001001188.3	7226	TRPM2		TRPM2							
6350044	NM_033430.2	8654	PDE5A		PDE5A							
730014	XM_496034.2	653717	LOC653717		LOC653717							
990451	AW172278		HS.543106		HS.543106							
4150711	NM_020935.1	57695	USP37		USP37							
5910609	NM_000418.2	3566	IL4R		IL4R							
630221	BX119059		HS.148130		HS.148130							
7150112	AK125806		HS.311208		HS.311208							
6770041	NM_001081551.2	414325	DEFB103B		DEFB103B							
6900707	NM_001081551.2	414325	DEFB103B		DEFB103B							
4390730	NM_003395.1	7483	WNT9A		WNT9A							
270025	NM_007208.2	11222	MRPL3		MRPL3							
2710192	NM_007208.2	11222	MRPL3		MRPL3							
3840181	NM_024641.2	79694	MANEA		MANEA							
3060767	NM_024641.2	79694	MANEA		MANEA							
2360411	NM_024641.2	79694	MANEA		MANEA							
4610091	NM_024641.2	79694	MANEA		MANEA							
6940709	NM_178231.1	65068	ALS2CR14		ALS2CR14							
5670537	CR739125		HS.543604		HS.543604							
50044	XM_926522.2	642350	LOC642350		LOC642350							
7100184	XM_934674.2	644838	LOC644838		LOC644838							
3310014	XM_001129874.1	731496	LOC731496		LOC731496							
5270240	XM_931899.1	643899	LOC643899		LOC643899							
2900309	BX098778		HS.156892		HS.156892							
780674	CN292254		HS.559600		HS.559600							
2100601	NM_182684.1	80761	UPK3B		UPK3B							
5670615	NM_182684.1	80761	UPK3B		UPK3B							
7320468	NM_184231.1	51517	NCKIPSD		NCKIPSD							
6590301	DA686925		HS.573797		HS.573797							
5220520	NM_198708.1	374875	HSD11B1L		HSD11B1L							
3850678	NM_145256.2	126364	LRRC25		LRRC25							
670241	NM_181552.2	1523	CUX1		CUX1							
6450100	NM_033272.2	90134	KCNH7		KCNH7							
60523	AK095534		HS.126889		HS.126889							
1710328	XM_938494.1	9066	SYT7		SYT7							
5080411	BG461133		HS.434884		HS.434884							
7200241	XM_370586.2	387723	LOC387723		LOC387723							
1570598	NM_001005731.1	3691	ITGB4		ITGB4							
2640162	XM_945396.1	649270	LOC649270		LOC649270							
2100392	NM_033059.2	85282	KRTAP4-11		KRTAP4-11							
2760059	NM_015350.1	23507	LRRC8B		LRRC8B							
510026	XM_377949.3	402282	LOC402282		LOC402282							
5820326	DB338973		HS.573890		HS.573890							
3390653	XM_944416.2	339263	C17ORF51		C17ORF51							
6650554	CB987747		HS.527515		HS.527515							
3190609	NM_014963.2	22904	SBNO2		SBNO2							
4760739	NM_176810.2	126204	NLRP13		NLRP13							
6330170	NM_212469.1	1119	CHKA		CHKA							
3460424	NM_212469.1	1119	CHKA		CHKA							
2260332	NR_002827.1	440362	HERC2P4		HERC2P4							
6400382	NR_002827.1	440362	HERC2P4		HERC2P4							
4670431	NM_032447.3	84467	FBN3		FBN3							
3460072	BF107605		HS.539765		HS.539765							
7510746	CN315248		HS.543452		HS.543452							
7000288	XM_945259.1	649701	LOC649701		LOC649701							
4670224	NM_001331.1	1500	CTNND1		CTNND1							
6380370	NM_001760.2	896	CCND3		CCND3							
1660685	NM_018460.2	55843	ARHGAP15		ARHGAP15							
4050349	NM_198896.1	5870	RAB6A		RAB6A							
5490053	NR_002605.1	10301	DLEU1		DLEU1							
1260612	NR_002605.1	10301	DLEU1		DLEU1							
4250735	NM_004843.2	9466	IL27RA		IL27RA							
6100609	NM_207309.1	91373	UAP1L1		UAP1L1							
2650270	BU564031		HS.545232		HS.545232							
3130131	NM_003008.2	6407	SEMG2		SEMG2							
7560097	NM_005765.2	10159	ATP6AP2		ATP6AP2							
290048	NM_002311.3	3980	LIG3		LIG3							
630047	NM_002311.3	3980	LIG3		LIG3							
6580609	NM_015428.1	25888	ZNF473		ZNF473							
620497	NM_015428.1	25888	ZNF473		ZNF473							
2470025	NM_080654.2	91057	CCDC34		CCDC34							
7380358	AW977662		HS.374093		HS.374093							
650603	NM_016087.2	51384	WNT16		WNT16							
1240360	NM_180981.1	122704	MRPL52		MRPL52							
2360551	NM_000693.2	220	ALDH1A3		ALDH1A3							
2480176	AI631676		HS.540032		HS.540032							
2970609	NM_007114.2	7110	TMF1		TMF1							
7330040	NM_007114.2	7110	TMF1		TMF1							
1500358	NM_173505.2	147463	ANKRD29		ANKRD29							
5560593	NM_003466.3	7849	PAX8		PAX8							
1090451	NM_003466.3	7849	PAX8		PAX8							
5490301	BQ007085		HS.122147		HS.122147							
7210446	NM_152301.3	114932	MRFAP1L1		MRFAP1L1							
940520	NM_004581.3	5875	RABGGTA		RABGGTA							
4850735	NM_005640.1	6875	TAF4B		TAF4B							
7650670	XM_938845.1	649775	LOC649775		LOC649775							
3400746	NM_001001953.1	219870	OR10G9		OR10G9							
5290463	NM_003551.2	8382	NME5		NME5							
10647	BM676998		HS.562894		HS.562894							
2760521	AL044863		HS.579492		HS.579492							
4830195	AK129542		HS.223856		HS.223856							
4880639	XM_929761.1	646804	LOC646804		LOC646804							
20195	NM_003173.2	6839	SUV39H1		SUV39H1							
7550193	NM_199160.2	26468	LHX6		LHX6							
1190019	XM_943107.1	647911	LOC647911		LOC647911							
6840750	NM_025211.2	80318	GKAP1		GKAP1							
4830551	NM_144657.3	139324	HDX		HDX							
4280619	AK026199		HS.531728		HS.531728							
1010133	BX093040		HS.436880		HS.436880							
2470148	AI263692		HS.566197		HS.566197							
6270594	AW006265		HS.545828		HS.545828							
1580022	AK094605		HS.376338		HS.376338							
4540370	NM_003929.1	8934	RAB7L1		RAB7L1							
4070458	AK092055		HS.376609		HS.376609							
5560397	AI208176		HS.543495		HS.543495							
7210367	NM_001014797.1	3778	KCNMA1		KCNMA1							
4880477	XM_926402.1	643031	LOC643031		LOC643031							
7320475	DA122450		HS.569276		HS.569276							
1430379	NM_145735.1	8874	ARHGEF7		ARHGEF7							
5340484	NM_145735.1	8874	ARHGEF7		ARHGEF7							
4230110	XM_944049.1	57730	KIAA1641		KIAA1641							
4590164	NM_001031618.1	441273	MGC119295		MGC119295							
4250639	AA860914		HS.524010		HS.524010							
2230674	AK131022		HS.579084		HS.579084							
6280730	W28457		HS.146595		HS.146595							
2970176	NM_015356.3	23513	SCRIB		SCRIB							
4290196	NM_015356.3	23513	SCRIB		SCRIB							
4900504	NM_022127.1	64078	SLC28A3		SLC28A3							
4860095	CA428261		HS.566599		HS.566599							
540100	NM_022171.2	6988	TCTA		TCTA							
2100615	XM_941950.2	652489	LOC652489		LOC652489							
6650228	XM_941950.2	652489	LOC652489		LOC652489							
4010630	CD358190		HS.568674		HS.568674							
6580491	NM_015089.2	23113	PARC		PARC							
1580324	NM_006225.2	5333	PLCD1		PLCD1							
1070386	NM_006807.3	10951	CBX1		CBX1							
4050242	XM_925887.1	642356	LOC642356		LOC642356							
1070553	AA778141		HS.527198		HS.527198							
290102	BF476099		HS.105962		HS.105962							
3140112	NM_021823.3	60490	PPCDC		PPCDC							
1580528	NM_176890.1	259296	TAS2R50		TAS2R50							
4010709	NM_181689.1	4826	NNAT		NNAT							
4760707	BX089355		HS.550194		HS.550194							
5050170	XM_927061.1	643772	LOC643772		LOC643772							
3460750	NM_031413.2	27443	CECR2		CECR2							
5260475	XM_939906.1	650815	LOC650815		LOC650815							
4120661	AW275391		HS.212477		HS.212477							
1710059	XM_931396.2	643194	LOC643194		LOC643194							
5420037	NM_005019.3	5136	PDE1A		PDE1A							
7200059	NM_199176.1	92399	MRRF		MRRF							
130133	AI369563		HS.543995		HS.543995							
2450670	XM_001132864.1	9026	HIP1R		HIP1R							
7610561	NM_000274.1	4942	OAT		OAT							
7040241	NM_000274.1	4942	OAT		OAT							
4060441	NM_178161.2	256297	PTF1A		PTF1A							
1050601	AL043404		HS.539278		HS.539278							
7330441	NM_007282.4	11342	RNF13		RNF13							
1300242	NM_152357.1	126070	ZNF440		ZNF440							
5360020	NM_199326.1	28227	PPP2R3B		PPP2R3B							
3990382	NM_194281.3	125476	INO80C		INO80C							
1090364	XM_932046.1	644209	LOC644209		LOC644209							
1580524	NM_203372.1	2181	ACSL3		ACSL3							
6250273	NR_002226.1	27160	INGX		INGX							
6590026	NM_015461.1	25925	ZNF521		ZNF521							
1090376	XM_926084.1	442117	LOC442117		LOC442117							
6370390	NM_022140.2	64097	EPB41L4A		EPB41L4A							
2680450	NM_005320.2	3007	HIST1H1D		HIST1H1D							
630092	NM_022351.3	64168	NECAB1		NECAB1							
3140152	CD514668		HS.543824		HS.543824							
5860138	NM_020639.2	54101	RIPK4		RIPK4							
10593	NM_001001330.1	221035	REEP3		REEP3							
3290041	XM_938042.2	347549	LOC347549		LOC347549							
1430068	NM_007122.3	7391	USF1		USF1							
6250167	AI208894		HS.132568		HS.132568							
6650551	XM_926431.1	643060	LOC643060		LOC643060							
2360093	XM_098350		HS.447730		HS.447730							
6020661	NM_032230.1	84190	C12ORF26		C12ORF26							
3360196	BM552199		HS.279208		HS.279208							
6270133	XM_930354.1	145195	C14ORF144		C14ORF144							
6580050	XM_930354.1	145195	C14ORF144		C14ORF144							
6450438	NM_005509.4	1657	DMXL1		DMXL1							
5310750	XM_927444.1	644267	LOC644267		LOC644267							
1230215	NM_152238.1	51375	SNX7		SNX7							
1240630	NM_152238.1	51375	SNX7		SNX7							
3850593	NM_152238.1	51375	SNX7		SNX7							
5420196	NM_001525.1	3061	HCRTR1		HCRTR1							
1660653	XM_926758.1	643423	LOC643423		LOC643423							
2690593	AW117214		HS.560376		HS.560376							
4180347	XM_927926.1	644830	LOC644830		LOC644830							
520021	AI334326		HS.544491		HS.544491							
4780768	NM_016255.1	51439	FAM8A1		FAM8A1							
7550047	NM_153354.3	153396	TMEM161B		TMEM161B							
4220482	NM_001004317.2	389421	LIN28B		LIN28B							
6590474	NM_001007526.1	5940	RBMY1A1		RBMY1A1							
610189	NM_015198.2	23242	COBL		COBL							
6580025	XM_942776.2	171024	SYNPO2		SYNPO2							
2060164	XM_371416.3	653620	LOC653620		LOC653620							
990360	AI681186		HS.242870		HS.242870							
630639	XM_929482.1	646550	LOC646550		LOC646550							
2060100	NM_014579.1	29986	SLC39A2		SLC39A2							
1690520	XM_934388.2	145783	LOC145783		LOC145783							
1110433	DB337158		HS.580367		HS.580367							
6520040	NM_000065.1	729	C6		C6							
1010273	BX098197		HS.127925		HS.127925							
520687	NM_006716.3	10926	DBF4		DBF4							
2450468	AI928453		HS.542849		HS.542849							
5720575	NM_001010911.1	399726	C10ORF114		C10ORF114							
4210040	NM_178233.1	347741	OTOP3		OTOP3							
6900240	BX117604		HS.117259		HS.117259							
5550575	XR_001013.1	541471	LOC541471		LOC541471							
2940753	AI694360		HS.574973		HS.574973							
4610601	XM_936341.1	642185	LOC642185		LOC642185							
6480133	NM_172108.2	3785	KCNQ2		KCNQ2							
6590189	NM_183061.1	285335	SLC9A10		SLC9A10							
6760576	NM_003169.2	6829	SUPT5H		SUPT5H							
2120068	NM_004687.3	9110	MTMR4		MTMR4							
290139	DA145142		HS.579045		HS.579045							
150181	XM_939707.1	8607	RUVBL1		RUVBL1							
6980750	NM_206907.3	5562	PRKAA1		PRKAA1							
630661	XM_940535.1	124685	LOC124685		LOC124685							
2750445	XM_373979.2	388938	LOC388938		LOC388938							
1740195	AI890690		HS.543784		HS.543784							
7510435	BE152897		HS.582179		HS.582179							
1470349	NM_053275.3	6175	RPLP0		RPLP0							
7570717	NM_002082.3	2870	GRK6		GRK6							
6250397	NM_206831.1	285381	DPH3		DPH3							
5860193	BI480835		HS.543074		HS.543074							
5670427	AI763344		HS.174246		HS.174246							
150138	XM_934672.1	253573	LOC253573		LOC253573							
5390239	NM_005191.3	941	CD80		CD80							
6650431	NM_030876.4	81696	OR5V1		OR5V1							
650138	NM_001004454.1	138881	OR1L8		OR1L8							
7550154	XM_943174.1	648003	LOC648003		LOC648003							
2230653	NM_025000.2	80067	C2ORF37		C2ORF37							
2810768	BG218960		HS.157382		HS.157382							
1400376	NM_015691.2	55841	WWC3		WWC3							
3840403	NM_001008756.1	257144	GCET2		GCET2							
3520156	NM_006585.2	10694	CCT8		CCT8							
7150564	AA399662		HS.541260		HS.541260							
2600544	NM_024312.3	79158	GNPTAB		GNPTAB							
2490670	NM_024312.3	79158	GNPTAB		GNPTAB							
2490091	NM_147191.1	118856	MMP21		MMP21							
1070082	BM671800		HS.567036		HS.567036							
3830646	AA483732		HS.541021		HS.541021							
7200286	AK095570		HS.529631		HS.529631							
4830470	AA885181		HS.544275		HS.544275							
990678	NM_032037.2	83983	TSSK6		TSSK6							
130709	NM_013399.2	29965	C16ORF5		C16ORF5							
6860672	AK000246		HS.197435		HS.197435							
5550600	NM_015125.3	23152	CIC		CIC							
3840482	BQ010898		HS.146839		HS.146839							
1190402	NM_016835.2	4137	MAPT		MAPT							
3130632	NM_000938.1	5431	POLR2B		POLR2B							
4480408	NM_030963.2	81847	RNF146		RNF146							
1090594	NM_030963.2	81847	RNF146		RNF146							
4150600	NM_004681.2	9086	EIF1AY		EIF1AY							
2650008	BC015159		HS.286666		HS.286666							
6330725	NM_005178.2	602	BCL3		BCL3							
7320681	NM_006413.3	10556	RPP30		RPP30							
1410747	XM_944750.2	646360	LOC646360		LOC646360							
7550403	NM_001017526.1	23779	ARHGAP8		ARHGAP8							
6760482	NM_001017526.1	23779	ARHGAP8		ARHGAP8							
1740201	U03237		HS.542617		HS.542617							
1690750	CD674078		HS.539753		HS.539753							
7320367	BU754460		HS.563938		HS.563938							
2510161	NM_003782.3	8705	B3GALT4		B3GALT4							
7510491	XM_925842.1	715	C1R		C1R							
3400398	XM_929896.1	646933	LOC646933		LOC646933							
6900156	NM_001037380.1	641517	DEFB109		DEFB109							
670300	AW204041		HS.564475		HS.564475							
2190735	NM_003614.1	8484	GALR3		GALR3							
2630382	NM_003614.1	8484	GALR3		GALR3							
3450097	XM_067605.6	131909	RG9MTD1		RG9MTD1							
6450053	NM_003444.1	7710	ZNF154		ZNF154							
2900424	CA309617		HS.119421		HS.119421							
1300377	NM_012182.1	27023	FOXB1		FOXB1							
1450347	XM_941308.1	652011	LOC652011		LOC652011							
3120768	BM700970		HS.563251		HS.563251							
5390347	NM_007135.1	7633	ZNF79		ZNF79							
1260711	BU101512		HS.96907		HS.96907							
3990524	XM_939632.1	650543	LOC650543		LOC650543							
5260328	BC080552		HS.403972		HS.403972							
5810743	NM_207376.1	387882	LOC387882		LOC387882							
3180064	DB310363		HS.578456		HS.578456							
3710356	NM_177438.1	23405	DICER1		DICER1							
1940300	NM_003574.5	9218	VAPA		VAPA							
20397	XM_001131480.1	246	ALOX15		ALOX15							
1230722	XM_001131480.1	246	ALOX15		ALOX15							
450437	XM_933280.1	653686	LOC653686		LOC653686							
130747	BF515074		HS.564514		HS.564514							
3420450	NM_015349.1	23506	KIAA0240		KIAA0240							
3710364	AI005111		HS.545333		HS.545333							
1740075	NM_153698.1	195827	C9ORF21		C9ORF21							
840554	NM_012234.4	23429	RYBP		RYBP							
2490753	XM_940995.1	651772	LOC651772		LOC651772							
5390719	BX100470		HS.147633		HS.147633							
380095	BU687098		HS.563450		HS.563450							
3180551	DA846917		HS.583362		HS.583362							
5910202	NM_017916.1	55011	PIH1D1		PIH1D1							
1230189	NM_006821.3	10965	ACOT2		ACOT2							
2650692	AI127491		HS.142866		HS.142866							
430661	XM_936286.2	642141	LOC642141		LOC642141							
2360767	AI287526		HS.543819		HS.543819							
7560647	NM_152359.1	126129	CPT1C		CPT1C							
7550402	NM_006351.2	10469	TIMM44		TIMM44							
4560348	BG163217		HS.553108		HS.553108							
4640609	NM_002073.2	2781	GNAZ		GNAZ							
3180300	AA400640		HS.183041		HS.183041							
3780731	NM_153675.1	3170	FOXA2		FOXA2							
4610592	NM_153675.1	3170	FOXA2		FOXA2							
2260209	CN282365		HS.545253		HS.545253							
6840471	NM_021601.3	973	CD79A		CD79A							
3940504	NM_021601.3	973	CD79A		CD79A							
6290168	NM_006829.2	10974	C10ORF116		C10ORF116							
5420477	NM_172220.1	1440	CSF3		CSF3							
1470433	AI138372		HS.540448		HS.540448							
